type,byte,FingerPrint,Corelation
image/vnd.microsoft.icon,57,0.00543478260869565,0.9980160964719724
video/quicktime,57,0.005434782608695656,0.9966483038048201
video/mp4,57,0.005434782608695652,1.0
application/xml,58,0.0,1.0
application/fits,58,0.0,1.0
application/x-sh,58,0.0,1.0
application/x-msdownload,58,0.0,1.0
image/jpeg,58,0.0,1.0
application/atom+xml,58,0.0,1.0
image/gif,58,0.0,1.0
image/x-ms-bmp,58,0.0,1.0
image/svg+xml,58,0.0,1.0
text/x-php,58,0.0,1.0
application/xhtml+xml,58,0.0,1.0
application/postscript,58,0.0,1.0
application/x-tika-msoffice,58,0.0,1.0
application/vnd.openxmlformats-officedocument.wordprocessingml.document,58,0.0,1.0
video/x-flv,58,0.0,1.0
text/x-matlab,58,0.0,1.0
application/vnd.ms-excel,58,0.0,1.0
text/plain,58,0.0,1.0
image/png,58,0.0,1.0
application/pdf,58,0.0,1.0
application/msword,58,0.0,1.0
application/x-compress,58,0.0,1.0
application/x-tika-ooxml,58,0.0,1.0
application/rdf+xml,58,0.0,1.0
application/vnd.google-earth.kml+xml,58,0.0,1.0
application/rss+xml,58,0.0,1.0
application/epub+zip,58,0.0,1.0
application/x-elc,58,0.0,1.0
audio/mpeg,58,0.0,1.0
text/html,58,0.0,1.0
image/tiff,58,0.0,1.0
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,58,0.0,1.0
application/zip,58,0.0,1.0
image/vnd.microsoft.icon,58,0.0,1.0
video/quicktime,58,0.0,1.0
video/mp4,58,0.0,1.0
application/xml,59,0.005434782608695651,0.9998255701541741
application/fits,59,0.005434782608695652,1.0
application/x-sh,59,0.005434782608695652,1.0
application/x-msdownload,59,0.005434782608695652,1.0
image/jpeg,59,0.005434782608695698,0.9962535894183843
application/atom+xml,59,0.005434782608695653,0.9971880034616023
image/gif,59,0.005434782608695637,0.9977408425073708
image/x-ms-bmp,59,0.005434782608695652,1.0
image/svg+xml,59,0.005434782608695652,1.0
text/x-php,59,0.005434782608695652,1.0
application/xhtml+xml,59,0.005434782608695418,0.9985790192814201
application/postscript,59,0.00543478260869565,0.9979881390165913
application/x-tika-msoffice,59,0.005434782608695651,0.9975761763263661
application/vnd.openxmlformats-officedocument.wordprocessingml.document,59,0.005434782608695652,1.0
video/x-flv,59,0.005434782608695652,1.0
text/x-matlab,59,0.00543478260869565,0.99792942132371
application/vnd.ms-excel,59,0.005434782608695652,1.0
text/plain,59,0.005434782608695575,0.9982360667824897
image/png,59,0.0054347826086956165,0.9913752944644332
application/pdf,59,0.005434782608695682,0.9982534708435681
application/msword,59,0.005434782608695651,0.9987662041012448
application/x-compress,59,0.005434782608695652,1.0
application/x-tika-ooxml,59,0.005434782608695652,1.0
application/rdf+xml,59,0.005434782608695652,1.0
application/vnd.google-earth.kml+xml,59,0.005434782608695652,1.0
application/rss+xml,59,0.005434782608695661,0.9987546459722126
application/epub+zip,59,0.005434782608695652,1.0
application/x-elc,59,0.005434782608695652,1.0
audio/mpeg,59,0.005434782608695652,1.0
text/html,59,0.005434782608695405,0.9995243946369498
image/tiff,59,0.005434782608695652,1.0
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,59,0.005434782608695652,1.0
application/zip,59,0.005434782608695651,0.9975761763263661
image/vnd.microsoft.icon,59,0.00543478260869565,0.9980160964719724
video/quicktime,59,0.005434782608695656,0.9966483038048201
video/mp4,59,0.005434782608695652,1.0
application/xml,60,0.0,1.0
application/fits,60,0.0,1.0
application/x-sh,60,0.0,1.0
application/x-msdownload,60,0.0,1.0
image/jpeg,60,0.0,1.0
application/atom+xml,60,0.0,1.0
image/gif,60,0.0,1.0
image/x-ms-bmp,60,0.0,1.0
image/svg+xml,60,0.0,1.0
text/x-php,60,0.0,1.0
application/xhtml+xml,60,0.0,1.0
application/postscript,60,0.0,1.0
application/x-tika-msoffice,60,0.0,1.0
application/vnd.openxmlformats-officedocument.wordprocessingml.document,60,0.0,1.0
video/x-flv,60,0.0,1.0
text/x-matlab,60,0.0,1.0
application/vnd.ms-excel,60,0.0,1.0
text/plain,60,0.0,1.0
image/png,60,0.0,1.0
application/pdf,60,0.0,1.0
application/msword,60,0.0,1.0
application/x-compress,60,0.0,1.0
application/x-tika-ooxml,60,0.0,1.0
application/rdf+xml,60,0.0,1.0
application/vnd.google-earth.kml+xml,60,0.0,1.0
application/rss+xml,60,0.0,1.0
application/epub+zip,60,0.0,1.0
application/x-elc,60,0.0,1.0
audio/mpeg,60,0.0,1.0
text/html,60,0.0,1.0
image/tiff,60,0.0,1.0
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,60,0.0,1.0
application/zip,60,0.0,1.0
image/vnd.microsoft.icon,60,0.0,1.0
video/quicktime,60,0.0,1.0
video/mp4,60,0.0,1.0
application/xml,61,0.09239130434782612,0.6690333166999732
application/fits,61,0.09239130434782608,1.0
application/x-sh,61,0.09239130434782608,1.0
application/x-msdownload,61,0.09239130434782608,1.0
image/jpeg,61,0.09239130434782653,0.7044890951433301
application/atom+xml,61,0.09239130434782607,0.48632159646618106
image/gif,61,0.09239130434782555,0.05541031615295959
image/x-ms-bmp,61,0.09239130434782608,1.0
image/svg+xml,61,0.09239130434782607,0.24219105517314213
text/x-php,61,0.09239130434782608,1.0
application/xhtml+xml,61,0.09239130434782712,0.972302103809013
application/postscript,61,0.09239130434782612,0.31348643271675064
application/x-tika-msoffice,61,0.09239130434782607,0.5372713162222285
application/vnd.openxmlformats-officedocument.wordprocessingml.document,61,0.0923913043478261,0.028697016197123133
video/x-flv,61,0.09239130434782608,1.0
text/x-matlab,61,0.09239130434782614,0.11973543303482939
application/vnd.ms-excel,61,0.09239130434782608,1.0
text/plain,61,0.0923913043478271,0.7378104826103381
image/png,61,0.0923913043478252,0.005322938541574996
application/pdf,61,0.09239130434782634,0.8764494863166257
application/msword,61,0.09239130434782607,0.7290253610229449
application/x-compress,61,0.0923913043478261,0.028697016197123133
application/x-tika-ooxml,61,0.09239130434782608,1.0
application/rdf+xml,61,0.09239130434782608,1.0
application/vnd.google-earth.kml+xml,61,0.09239130434782608,1.0
application/rss+xml,61,0.09239130434782594,0.726868780575198
application/epub+zip,61,0.09239130434782608,1.0
application/x-elc,61,0.09239130434782608,1.0
audio/mpeg,61,0.0923913043478261,0.028697016197123133
text/html,61,0.09239130434783811,0.32399156572823434
image/tiff,61,0.0923913043478261,0.028697016197123133
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,61,0.09239130434782608,1.0
application/zip,61,0.09239130434782607,0.5372713162222285
image/vnd.microsoft.icon,61,0.09239130434782614,0.13087206329898618
video/quicktime,61,0.09239130434782614,0.5769127456922453
video/mp4,61,0.09239130434782608,1.0
application/xml,62,0.17391304347826084,0.8364138588411408
application/fits,62,0.17391304347826086,1.0
application/x-sh,62,0.17391304347826086,1.0
application/x-msdownload,62,0.17391304347826086,1.0
image/jpeg,62,0.17391304347826234,0.021417891437877718
application/atom+xml,62,0.1739130434782609,0.05593636290019965
image/gif,62,0.1739130434782604,0.09866802400689428
image/x-ms-bmp,62,0.17391304347826086,1.0
image/svg+xml,62,0.17391304347826086,1.0
text/x-php,62,0.17391304347826086,1.0
application/xhtml+xml,62,0.17391304347825337,0.23313932111385005
application/postscript,62,0.1739130434782608,0.12717123493812685
application/x-tika-msoffice,62,0.17391304347826084,0.08332486534442421
application/vnd.openxmlformats-officedocument.wordprocessingml.document,62,0.17391304347826086,1.0
video/x-flv,62,0.17391304347826086,1.0
text/x-matlab,62,0.1739130434782608,0.11973543303482939
application/vnd.ms-excel,62,0.17391304347826086,1.0
text/plain,62,0.1739130434782584,0.1640043120804552
image/png,62,0.17391304347825973,1.40541986480933E-4
application/pdf,62,0.17391304347826184,0.16695858965539825
application/msword,62,0.17391304347826084,0.28246884005156897
application/x-compress,62,0.17391304347826086,1.0
application/x-tika-ooxml,62,0.17391304347826086,1.0
application/rdf+xml,62,0.17391304347826086,1.0
application/vnd.google-earth.kml+xml,62,0.17391304347826086,1.0
application/rss+xml,62,0.17391304347826114,0.2791412791242599
application/epub+zip,62,0.17391304347826086,1.0
application/x-elc,62,0.17391304347826086,1.0
audio/mpeg,62,0.17391304347826086,1.0
text/html,62,0.17391304347825295,0.6143836288838409
image/tiff,62,0.17391304347826086,1.0
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,62,0.17391304347826086,1.0
application/zip,62,0.17391304347826084,0.08332486534442421
image/vnd.microsoft.icon,62,0.1739130434782608,0.13087206329898618
video/quicktime,62,0.173913043478261,0.03213204280806715
video/mp4,62,0.17391304347826086,1.0
application/xml,63,0.09239130434782612,0.6690333166999732
application/fits,63,0.09239130434782608,1.0
application/x-sh,63,0.09239130434782608,1.0
application/x-msdownload,63,0.09239130434782608,1.0
image/jpeg,63,0.09239130434782653,0.7044890951433301
application/atom+xml,63,0.09239130434782607,0.48632159646618106
image/gif,63,0.09239130434782555,0.05541031615295959
image/x-ms-bmp,63,0.09239130434782608,1.0
image/svg+xml,63,0.09239130434782607,0.24219105517314213
text/x-php,63,0.09239130434782608,1.0
application/xhtml+xml,63,0.09239130434782712,0.972302103809013
application/postscript,63,0.09239130434782612,0.31348643271675064
application/x-tika-msoffice,63,0.09239130434782607,0.5372713162222285
application/vnd.openxmlformats-officedocument.wordprocessingml.document,63,0.0923913043478261,0.028697016197123133
video/x-flv,63,0.09239130434782608,1.0
text/x-matlab,63,0.09239130434782614,0.11973543303482939
application/vnd.ms-excel,63,0.09239130434782608,1.0
text/plain,63,0.0923913043478271,0.7378104826103381
image/png,63,0.0923913043478252,0.005322938541574996
application/pdf,63,0.09239130434782634,0.8764494863166257
application/msword,63,0.09239130434782607,0.7290253610229449
application/x-compress,63,0.0923913043478261,0.028697016197123133
application/x-tika-ooxml,63,0.09239130434782608,1.0
application/rdf+xml,63,0.09239130434782608,1.0
application/vnd.google-earth.kml+xml,63,0.09239130434782608,1.0
application/rss+xml,63,0.09239130434782594,0.726868780575198
application/epub+zip,63,0.09239130434782608,1.0
application/x-elc,63,0.09239130434782608,1.0
audio/mpeg,63,0.0923913043478261,0.028697016197123133
text/html,63,0.09239130434783811,0.32399156572823434
image/tiff,63,0.0923913043478261,0.028697016197123133
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,63,0.09239130434782608,1.0
application/zip,63,0.09239130434782607,0.5372713162222285
image/vnd.microsoft.icon,63,0.09239130434782614,0.13087206329898618
video/quicktime,63,0.09239130434782614,0.5769127456922453
video/mp4,63,0.09239130434782608,1.0
application/xml,64,0.010869565217391302,0.9993024631500966
application/fits,64,0.010869565217391304,1.0
application/x-sh,64,0.010869565217391304,1.0
application/x-msdownload,64,0.010869565217391304,1.0
image/jpeg,64,0.010869565217391396,0.9850983610916625
application/atom+xml,64,0.010869565217391306,0.9887993689146504
image/gif,64,0.010869565217391275,0.9909939466899174
image/x-ms-bmp,64,0.010869565217391304,1.0
image/svg+xml,64,0.010869565217391304,1.0
text/x-php,64,0.010869565217391304,1.0
application/xhtml+xml,64,0.010869565217390836,0.9943281807707224
application/postscript,64,0.0108695652173913,0.9919768090177358
application/x-tika-msoffice,64,0.010869565217391302,0.9903398979080917
application/vnd.openxmlformats-officedocument.wordprocessingml.document,64,0.010869565217391304,1.0
video/x-flv,64,0.010869565217391304,1.0
text/x-matlab,64,0.0108695652173913,0.9917433735808114
application/vnd.ms-excel,64,0.010869565217391304,1.0
text/plain,64,0.01086956521739115,0.9929629139483045
image/png,64,0.010869565217391233,0.9659449304506891
application/pdf,64,0.010869565217391365,0.9930321642579739
application/msword,64,0.010869565217391302,0.9950739424086202
application/x-compress,64,0.010869565217391304,1.0
application/x-tika-ooxml,64,0.010869565217391304,1.0
application/rdf+xml,64,0.010869565217391304,1.0
application/vnd.google-earth.kml+xml,64,0.010869565217391304,1.0
application/rss+xml,64,0.010869565217391321,0.9950278816054752
application/epub+zip,64,0.010869565217391304,1.0
application/x-elc,64,0.010869565217391304,1.0
audio/mpeg,64,0.010869565217391304,1.0
text/html,64,0.01086956521739081,0.9980989353199652
image/tiff,64,0.010869565217391304,1.0
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,64,0.010869565217391304,1.0
application/zip,64,0.010869565217391302,0.9903398979080917
image/vnd.microsoft.icon,64,0.0108695652173913,0.992087969909062
video/quicktime,64,0.010869565217391313,0.9866604679397502
video/mp4,64,0.010869565217391304,1.0
application/xml,65,0.0,1.0
application/fits,65,0.0,1.0
application/x-sh,65,0.0,1.0
application/x-msdownload,65,0.0,1.0
image/jpeg,65,0.0,1.0
application/atom+xml,65,0.0,1.0
image/gif,65,0.0,1.0
image/x-ms-bmp,65,0.0,1.0
image/svg+xml,65,0.0,1.0
text/x-php,65,0.0,1.0
application/xhtml+xml,65,0.0,1.0
application/postscript,65,0.0,1.0
application/x-tika-msoffice,65,0.0,1.0
application/vnd.openxmlformats-officedocument.wordprocessingml.document,65,0.0,1.0
video/x-flv,65,0.0,1.0
text/x-matlab,65,0.0,1.0
application/vnd.ms-excel,65,0.0,1.0
text/plain,65,0.0,1.0
image/png,65,0.0,1.0
application/pdf,65,0.0,1.0
application/msword,65,0.0,1.0
application/x-compress,65,0.0,1.0
application/x-tika-ooxml,65,0.0,1.0
application/rdf+xml,65,0.0,1.0
application/vnd.google-earth.kml+xml,65,0.0,1.0
application/rss+xml,65,0.0,1.0
application/epub+zip,65,0.0,1.0
application/x-elc,65,0.0,1.0
audio/mpeg,65,0.0,1.0
text/html,65,0.0,1.0
image/tiff,65,0.0,1.0
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,65,0.0,1.0
application/zip,65,0.0,1.0
image/vnd.microsoft.icon,65,0.0,1.0
video/quicktime,65,0.0,1.0
video/mp4,65,0.0,1.0
application/xml,66,0.0,1.0
application/fits,66,0.0,1.0
application/x-sh,66,0.0,1.0
application/x-msdownload,66,0.0,1.0
image/jpeg,66,0.0,1.0
application/atom+xml,66,0.0,1.0
image/gif,66,0.0,1.0
image/x-ms-bmp,66,0.0,1.0
image/svg+xml,66,0.0,1.0
text/x-php,66,0.0,1.0
application/xhtml+xml,66,0.0,1.0
application/postscript,66,0.0,1.0
application/x-tika-msoffice,66,0.0,1.0
application/vnd.openxmlformats-officedocument.wordprocessingml.document,66,0.0,1.0
video/x-flv,66,0.0,1.0
text/x-matlab,66,0.0,1.0
application/vnd.ms-excel,66,0.0,1.0
text/plain,66,0.0,1.0
image/png,66,0.0,1.0
application/pdf,66,0.0,1.0
application/msword,66,0.0,1.0
application/x-compress,66,0.0,1.0
application/x-tika-ooxml,66,0.0,1.0
application/rdf+xml,66,0.0,1.0
application/vnd.google-earth.kml+xml,66,0.0,1.0
application/rss+xml,66,0.0,1.0
application/epub+zip,66,0.0,1.0
application/x-elc,66,0.0,1.0
audio/mpeg,66,0.0,1.0
text/html,66,0.0,1.0
image/tiff,66,0.0,1.0
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,66,0.0,1.0
application/zip,66,0.0,1.0
image/vnd.microsoft.icon,66,0.0,1.0
video/quicktime,66,0.0,1.0
video/mp4,66,0.0,1.0
application/xml,67,0.0,1.0
application/fits,67,0.0,1.0
application/x-sh,67,0.0,1.0
application/x-msdownload,67,0.0,1.0
image/jpeg,67,0.0,1.0
application/atom+xml,67,0.0,1.0
image/gif,67,0.0,1.0
image/x-ms-bmp,67,0.0,1.0
image/svg+xml,67,0.0,1.0
text/x-php,67,0.0,1.0
application/xhtml+xml,67,0.0,1.0
application/postscript,67,0.0,1.0
application/x-tika-msoffice,67,0.0,1.0
application/vnd.openxmlformats-officedocument.wordprocessingml.document,67,0.0,1.0
video/x-flv,67,0.0,1.0
text/x-matlab,67,0.0,1.0
application/vnd.ms-excel,67,0.0,1.0
text/plain,67,0.0,1.0
image/png,67,0.0,1.0
application/pdf,67,0.0,1.0
application/msword,67,0.0,1.0
application/x-compress,67,0.0,1.0
application/x-tika-ooxml,67,0.0,1.0
application/rdf+xml,67,0.0,1.0
application/vnd.google-earth.kml+xml,67,0.0,1.0
application/rss+xml,67,0.0,1.0
application/epub+zip,67,0.0,1.0
application/x-elc,67,0.0,1.0
audio/mpeg,67,0.0,1.0
text/html,67,0.0,1.0
image/tiff,67,0.0,1.0
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,67,0.0,1.0
application/zip,67,0.0,1.0
image/vnd.microsoft.icon,67,0.0,1.0
video/quicktime,67,0.0,1.0
video/mp4,67,0.0,1.0
application/xml,68,0.0760869565217392,0.3274406744367719
application/fits,68,0.07608695652173914,1.0
application/x-sh,68,0.07608695652173914,1.0
application/x-msdownload,68,0.07608695652173914,1.0
image/jpeg,68,0.07608695652174009,0.19620249012020108
application/atom+xml,68,0.07608695652173914,1.0
image/gif,68,0.07608695652173875,0.20789773571350156
image/x-ms-bmp,68,0.07608695652173914,1.0
image/svg+xml,68,0.07608695652173914,1.0
text/x-php,68,0.07608695652173914,1.0
application/xhtml+xml,68,0.07608695652174444,0.4825461428825696
application/postscript,68,0.07608695652173916,0.597168955244778
application/x-tika-msoffice,68,0.07608695652173914,1.0
application/vnd.openxmlformats-officedocument.wordprocessingml.document,68,0.07608695652173914,1.0
video/x-flv,68,0.07608695652173914,1.0
text/x-matlab,68,0.07608695652173916,0.588241516114545
application/vnd.ms-excel,68,0.07608695652173914,1.0
text/plain,68,0.0760869565217388,0.9676681424075685
image/png,68,0.07608695652173872,0.30506197972316185
application/pdf,68,0.07608695652173966,0.5900754731696903
application/msword,68,0.07608695652173914,1.0
application/x-compress,68,0.07608695652173914,1.0
application/x-tika-ooxml,68,0.07608695652173914,1.0
application/rdf+xml,68,0.07608695652173914,1.0
application/vnd.google-earth.kml+xml,68,0.07608695652173914,1.0
application/rss+xml,68,0.07608695652173883,0.2135242070593939
application/epub+zip,68,0.07608695652173914,1.0
application/x-elc,68,0.07608695652173914,1.0
audio/mpeg,68,0.07608695652173914,1.0
text/html,68,0.07608695652174537,0.7391395398756736
image/tiff,68,0.07608695652173914,1.0
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,68,0.07608695652173914,1.0
application/zip,68,0.07608695652173914,1.0
image/vnd.microsoft.icon,68,0.07608695652173916,0.6014669071698683
video/quicktime,68,0.0760869565217392,0.4233841389615069
video/mp4,68,0.07608695652173914,1.0
application/xml,69,0.021739130434782605,0.9972127705889999
application/fits,69,0.021739130434782608,1.0
application/x-sh,69,0.021739130434782608,1.0
application/x-msdownload,69,0.021739130434782608,1.0
image/jpeg,69,0.021739130434782792,0.9417126105669218
application/atom+xml,69,0.02173913043478261,0.9559445955555896
image/gif,69,0.02173913043478255,0.9644595254279142
image/x-ms-bmp,69,0.021739130434782608,1.0
image/svg+xml,69,0.021739130434782608,1.0
text/x-php,69,0.021739130434782608,1.0
application/xhtml+xml,69,0.02173913043478167,0.9775050114785735
application/postscript,69,0.0217391304347826,0.9682914039135183
application/x-tika-msoffice,69,0.021739130434782605,0.9619158999459863
application/vnd.openxmlformats-officedocument.wordprocessingml.document,69,0.021739130434782608,1.0
video/x-flv,69,0.021739130434782608,1.0
text/x-matlab,69,0.0217391304347826,0.9673802787706335
application/vnd.ms-excel,69,0.021739130434782608,1.0
text/plain,69,0.0217391304347823,0.9721473878038008
image/png,69,0.021739130434782466,0.8705815722269048
application/pdf,69,0.02173913043478273,0.9724186106244612
application/msword,69,0.021739130434782605,0.9804408883399751
application/x-compress,69,0.021739130434782608,1.0
application/x-tika-ooxml,69,0.021739130434782608,1.0
application/rdf+xml,69,0.021739130434782608,1.0
application/vnd.google-earth.kml+xml,69,0.021739130434782608,1.0
application/rss+xml,69,0.021739130434782643,0.9802593671189848
application/epub+zip,69,0.021739130434782608,1.0
application/x-elc,69,0.021739130434782608,1.0
audio/mpeg,69,0.021739130434782608,1.0
text/html,69,0.02173913043478162,0.9924173980925811
image/tiff,69,0.021739130434782608,1.0
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,69,0.021739130434782608,1.0
application/zip,69,0.021739130434782605,0.9619158999459863
image/vnd.microsoft.icon,69,0.0217391304347826,0.9687255036966932
video/quicktime,69,0.021739130434782625,0.9477000674046961
video/mp4,69,0.021739130434782608,1.0
application/xml,70,0.016304347826086942,0.956324550586139
application/fits,70,0.016304347826086956,1.0
application/x-sh,70,0.016304347826086956,1.0
application/x-msdownload,70,0.016304347826086956,1.0
image/jpeg,70,0.01630434782608723,0.8750889631514167
application/atom+xml,70,0.016304347826086956,1.0
image/gif,70,0.016304347826086935,0.9955023702832424
image/x-ms-bmp,70,0.016304347826086956,1.0
image/svg+xml,70,0.016304347826086956,1.0
text/x-php,70,0.016304347826086956,1.0
application/xhtml+xml,70,0.016304347826088396,0.9476681603358121
application/postscript,70,0.016304347826086953,0.9919768090177358
application/x-tika-msoffice,70,0.016304347826086953,0.9619158999459863
application/vnd.openxmlformats-officedocument.wordprocessingml.document,70,0.016304347826086956,1.0
video/x-flv,70,0.016304347826086956,1.0
text/x-matlab,70,0.016304347826086953,0.9917433735808114
application/vnd.ms-excel,70,0.016304347826086956,1.0
text/plain,70,0.016304347826087105,0.993427792389614
image/png,70,0.016304347826086935,0.9970362996793372
application/pdf,70,0.016304347826087077,0.9724186106244612
application/msword,70,0.01630434782608695,0.9240291227597779
application/x-compress,70,0.016304347826086956,1.0
application/x-tika-ooxml,70,0.016304347826086956,1.0
application/rdf+xml,70,0.016304347826086956,1.0
application/vnd.google-earth.kml+xml,70,0.016304347826086956,1.0
application/rss+xml,70,0.016304347826086935,0.9928479887123934
application/epub+zip,70,0.016304347826086956,1.0
application/x-elc,70,0.016304347826086956,1.0
audio/mpeg,70,0.016304347826086956,1.0
text/html,70,0.01630434782608905,0.9663912908674102
image/tiff,70,0.016304347826086956,1.0
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,70,0.016304347826086956,1.0
application/zip,70,0.016304347826086953,0.9619158999459863
image/vnd.microsoft.icon,70,0.016304347826086953,0.992087969909062
video/quicktime,70,0.016304347826086942,0.9662052286805026
video/mp4,70,0.016304347826086956,1.0
application/xml,71,0.005434782608695651,0.9998255701541741
application/fits,71,0.005434782608695652,1.0
application/x-sh,71,0.005434782608695652,1.0
application/x-msdownload,71,0.005434782608695652,1.0
image/jpeg,71,0.005434782608695698,0.9962535894183843
application/atom+xml,71,0.005434782608695653,0.9971880034616023
image/gif,71,0.005434782608695637,0.9977408425073708
image/x-ms-bmp,71,0.005434782608695652,1.0
image/svg+xml,71,0.005434782608695652,1.0
text/x-php,71,0.005434782608695652,1.0
application/xhtml+xml,71,0.005434782608695418,0.9985790192814201
application/postscript,71,0.00543478260869565,0.9979881390165913
application/x-tika-msoffice,71,0.005434782608695651,0.9975761763263661
application/vnd.openxmlformats-officedocument.wordprocessingml.document,71,0.005434782608695652,1.0
video/x-flv,71,0.005434782608695652,1.0
text/x-matlab,71,0.00543478260869565,0.99792942132371
application/vnd.ms-excel,71,0.005434782608695652,1.0
text/plain,71,0.005434782608695575,0.9982360667824897
image/png,71,0.0054347826086956165,0.9913752944644332
application/pdf,71,0.005434782608695682,0.9982534708435681
application/msword,71,0.005434782608695651,0.9987662041012448
application/x-compress,71,0.005434782608695652,1.0
application/x-tika-ooxml,71,0.005434782608695652,1.0
application/rdf+xml,71,0.005434782608695652,1.0
application/vnd.google-earth.kml+xml,71,0.005434782608695652,1.0
application/rss+xml,71,0.005434782608695661,0.9987546459722126
application/epub+zip,71,0.005434782608695652,1.0
application/x-elc,71,0.005434782608695652,1.0
audio/mpeg,71,0.005434782608695652,1.0
text/html,71,0.005434782608695405,0.9995243946369498
image/tiff,71,0.005434782608695652,1.0
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,71,0.005434782608695652,1.0
application/zip,71,0.005434782608695651,0.9975761763263661
image/vnd.microsoft.icon,71,0.00543478260869565,0.9980160964719724
video/quicktime,71,0.005434782608695656,0.9966483038048201
video/mp4,71,0.005434782608695652,1.0
application/xml,72,0.0,1.0
application/fits,72,0.0,1.0
application/x-sh,72,0.0,1.0
application/x-msdownload,72,0.0,1.0
image/jpeg,72,0.0,1.0
application/atom+xml,72,0.0,1.0
image/gif,72,0.0,1.0
image/x-ms-bmp,72,0.0,1.0
image/svg+xml,72,0.0,1.0
text/x-php,72,0.0,1.0
application/xhtml+xml,72,0.0,1.0
application/postscript,72,0.0,1.0
application/x-tika-msoffice,72,0.0,1.0
application/vnd.openxmlformats-officedocument.wordprocessingml.document,72,0.0,1.0
video/x-flv,72,0.0,1.0
text/x-matlab,72,0.0,1.0
application/vnd.ms-excel,72,0.0,1.0
text/plain,72,0.0,1.0
image/png,72,0.0,1.0
application/pdf,72,0.0,1.0
application/msword,72,0.0,1.0
application/x-compress,72,0.0,1.0
application/x-tika-ooxml,72,0.0,1.0
application/rdf+xml,72,0.0,1.0
application/vnd.google-earth.kml+xml,72,0.0,1.0
application/rss+xml,72,0.0,1.0
application/epub+zip,72,0.0,1.0
application/x-elc,72,0.0,1.0
audio/mpeg,72,0.0,1.0
text/html,72,0.0,1.0
image/tiff,72,0.0,1.0
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,72,0.0,1.0
application/zip,72,0.0,1.0
image/vnd.microsoft.icon,72,0.0,1.0
video/quicktime,72,0.0,1.0
video/mp4,72,0.0,1.0
application/xml,73,0.0,1.0
application/fits,73,0.0,1.0
application/x-sh,73,0.0,1.0
application/x-msdownload,73,0.0,1.0
image/jpeg,73,0.0,1.0
application/atom+xml,73,0.0,1.0
image/gif,73,0.0,1.0
image/x-ms-bmp,73,0.0,1.0
image/svg+xml,73,0.0,1.0
text/x-php,73,0.0,1.0
application/xhtml+xml,73,0.0,1.0
application/postscript,73,0.0,1.0
application/x-tika-msoffice,73,0.0,1.0
application/vnd.openxmlformats-officedocument.wordprocessingml.document,73,0.0,1.0
video/x-flv,73,0.0,1.0
text/x-matlab,73,0.0,1.0
application/vnd.ms-excel,73,0.0,1.0
text/plain,73,0.0,1.0
image/png,73,0.0,1.0
application/pdf,73,0.0,1.0
application/msword,73,0.0,1.0
application/x-compress,73,0.0,1.0
application/x-tika-ooxml,73,0.0,1.0
application/rdf+xml,73,0.0,1.0
application/vnd.google-earth.kml+xml,73,0.0,1.0
application/rss+xml,73,0.0,1.0
application/epub+zip,73,0.0,1.0
application/x-elc,73,0.0,1.0
audio/mpeg,73,0.0,1.0
text/html,73,0.0,1.0
image/tiff,73,0.0,1.0
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,73,0.0,1.0
application/zip,73,0.0,1.0
image/vnd.microsoft.icon,73,0.0,1.0
video/quicktime,73,0.0,1.0
video/mp4,73,0.0,1.0
application/xml,74,0.0,1.0
application/fits,74,0.0,1.0
application/x-sh,74,0.0,1.0
application/x-msdownload,74,0.0,1.0
image/jpeg,74,0.0,1.0
application/atom+xml,74,0.0,1.0
image/gif,74,0.0,1.0
image/x-ms-bmp,74,0.0,1.0
image/svg+xml,74,0.0,1.0
text/x-php,74,0.0,1.0
application/xhtml+xml,74,0.0,1.0
application/postscript,74,0.0,1.0
application/x-tika-msoffice,74,0.0,1.0
application/vnd.openxmlformats-officedocument.wordprocessingml.document,74,0.0,1.0
video/x-flv,74,0.0,1.0
text/x-matlab,74,0.0,1.0
application/vnd.ms-excel,74,0.0,1.0
text/plain,74,0.0,1.0
image/png,74,0.0,1.0
application/pdf,74,0.0,1.0
application/msword,74,0.0,1.0
application/x-compress,74,0.0,1.0
application/x-tika-ooxml,74,0.0,1.0
application/rdf+xml,74,0.0,1.0
application/vnd.google-earth.kml+xml,74,0.0,1.0
application/rss+xml,74,0.0,1.0
application/epub+zip,74,0.0,1.0
application/x-elc,74,0.0,1.0
audio/mpeg,74,0.0,1.0
text/html,74,0.0,1.0
image/tiff,74,0.0,1.0
